C2	27.49	56.70	180.00	100nF	CAPC1005X55N
D1	11.70	20.06	90.00	1N4007G	DO-214AC
D2	22.60	19.75	90.00	1N4007G	DO-214AC
D3	16.54	26.75	180.00	1N4007G	DO-214AC
D4	23.40	26.70	180.00	1N4007G	DO-214AC
D5	26.15	19.65	90.00	1N4007G	DO-214AC
D6	30.05	26.70	180.00	1N4007G	DO-214AC
D7	35.70	19.60	90.00	1N4007G	DO-214AC
D8	36.55	26.65	180.00	1N4007G	DO-214AC
OK1	16.88	34.76	0.00	CYPC817	DIL4-SMD
OK2	24.50	34.70	0.00	CYPC817	DIL4-SMD
OK3	31.55	34.60	0.00	CYPC817	DIL4-SMD
OK4	38.90	34.60	0.00	CYPC817	DIL4-SMD
R1	15.40	19.82	90.00	10K	ERJP06D_1000V
R10	32.20	18.82	90.00	10K	ERJP06D_1000V
R11	18.32	3.90	180.00	10K	ERJP06D_1000V
R12	16.21	41.30	180.00	47K	ERJ2RKD1004X
R2	18.28	12.85	0.00	10K	ERJP06D_1000V
R3	22.79	41.30	0.00	47K	ERJ2RKD1004X
R4	17.80	19.82	90.00	10K	ERJP06D_1000V
R5	18.32	9.60	0.00	10K	ERJP06D_1000V
R6	29.74	41.20	0.00	47K	ERJ2RKD1004X
R7	30.05	18.78	90.00	10K	ERJP06D_1000V
R8	31.98	14.80	0.00	10K	ERJP06D_1000V
R9	38.01	41.15	180.00	47K	ERJ2RKD1004X
U1	32.37	50.12	90.00	PCF8574DW	SOIC127P1030X265-16N
